Componente 1,Componente 2,Cluster,Curso
-0.047084298,-0.30962732,2,Primeiros passos com o Microsoft 365 
0.20946269,0.042881414,1,"Elaboração Legislativa no Executivo: Legística, Governança e Avaliação "
-0.032437325,-0.08471044,3,Português - Interpretação de Texto e Emprego de Regras Gramaticais 
0.123201214,0.06817752,1,Inteligencia Emocional 
-0.08642023,-0.037620835,3,Inclusão de gênero na ponta da língua 
-0.17053162,0.3396161,0,"Licitação por concorrência, concurso, leilão e diálogo competitivo "
-0.08642023,-0.037620835,3,Inclusão de gênero na ponta da língua 
-0.19599919,-0.25303245,3,Primeiros passos para uso de Linguagem Simples 
-0.032437325,-0.08471044,3,Português - Interpretação de Texto e Emprego de Regras Gramaticais 
-0.058280908,-0.10952011,3,Relatório de Segurança de Barragens: o que é e para que serve 
-0.3454622,-0.20707878,3,Processamento de Linguagem Natural 
-0.3454622,-0.20707878,3,Processamento de Linguagem Natural 
0.03739795,0.05555014,1,Acessibilidade em Museus 
0.30409437,0.09730559,4,Acessibilidade na Comunicação 
0.30409437,0.09730559,4,Acessibilidade na Comunicação 
0.0260062,-0.09602258,1,A História da IA 
0.09274274,0.18975425,4,Cerrado: eixo pedagógico e patrimônio 
0.09274274,0.18975425,4,Cerrado: eixo pedagógico e patrimônio 
-0.3454622,-0.20707878,3,Processamento de Linguagem Natural 
0.2282422,0.14022136,4,Controles Institucional e Social dos Gastos Públicos 
0.22486292,-0.009319117,1,Gestão de Pessoas nas Empresas Estatais 
0.21809356,-0.008420256,1,Criatividade e Novas Tecnologias para facilitar o seu dia a dia no trabalho 
0.0783763,-0.13378437,1,Gestão de Equipes em Trabalho Remoto 
-0.14274503,-0.09996752,3,Análise e Melhoria de Processos 
0.13439557,0.00038592058,1,Garantia de Direitos e Atenção à Pessoa Idosa 
0.035488382,-0.096698545,1,Noções Básicas de Gerenciamento em Serviços Arquivísticos 
0.21995808,0.22073808,4,A Previdência Social dos Servidores Públicos: Regime Próprio e Regime de Previdência 
-0.040165883,-0.13275202,3,Ambiente e Condições para o Desenvolvimento Produtivo Local 
-0.15060101,0.21278945,0,Compliance Concorrencial 
0.23376915,0.12999694,4,"Comunicação Assertiva: Oratória, Retórica e Técnicas de Apresentação "
-0.05833302,-0.019394852,3,"Estratégias de produtividade: clareza, propósito e priorização de tarefas "
-0.17053162,0.3396161,0,"Licitação por concorrência, concurso, leilão e diálogo competitivo "
-0.17053162,0.3396161,0,"Licitação por concorrência, concurso, leilão e diálogo competitivo "
0.23376915,0.12999694,4,"Comunicação Assertiva: Oratória, Retórica e Técnicas de Apresentação "
0.16693814,-0.00044301272,1,Direito e Atenção à Saúde da Pessoa Idosa 
-0.15060101,0.21278945,0,Compliance Concorrencial 
0.27657714,-0.051508542,1,Sustentabilidade na Administração Pública 
0.0783763,-0.13378437,1,Gestão de Equipes em Trabalho Remoto 
0.20033681,0.18696424,4,Comunicação não violenta 
0.010701477,-0.30662754,2,Internet do Comportamento (loB) em Serviços Públicos Digitais 
0.23714687,0.07100758,1,Análise de dados como suporte à tomada de decisão 
-0.095628165,0.065195575,3,Direito e Novas Tecnologias 
0.0009974745,0.0027071899,1,Desenvolvimento Regional: conhecendo a história e construindo o futuro 
0.015993955,-0.32416496,2,Inteligência Artificial para simplificar o dia a dia 
-0.15529822,-0.31622976,2,Ambientes Digitais de Aprendizagem 
-0.038061783,-0.03572781,3,Água e Gênero 
-0.027923018,-0.35099855,2,Design Instrucional para Nativos e Imigrantes Digitais 
-0.0878589,-0.25972813,2,Gestão e preservação de documentos digitais 
0.08725573,-0.21877228,2,Infraestrutura Econômica e Urbana 
-0.3774511,0.05596918,0,Técnica Legislativa 
0.17157891,-0.061479636,1,Aplicação do Power BI para Aprimoramento da Gestão 
-0.019257115,0.29034197,4,Proteção a Direitos Humanos: Prevenção e Proibição da Tortura 
-0.15529822,-0.31622976,2,Ambientes Digitais de Aprendizagem 
-0.061289463,0.07281439,3,Temos que dar aulas remotas... E agora? 
0.2631873,0.24662502,4,Participação e Controle Social na Execução de Penas 
0.2639798,0.2733823,4,"Prestação de contas, transparência e controle social no âmbito do FNDE "
-0.60838306,0.19429016,0,Nova Lei de Licitações: Sanções ao fornecedor 
-0.01143508,-0.03831492,1,Desvendando as desigualdades regionais: uma viagem pelo Brasil 
0.002947889,-0.2419059,2,Elaboração de instrumentos de gestão de documentos arquivísticos relativos às atividades-fim 
-0.11819446,-0.123394854,3,Comunicações Processuais 
0.042386923,-0.012591612,1,Termos de Fomento e de Colaboração: Execução 
-0.44167918,0.20305133,0,Compras sustentáveis e a nova lei de licitações 
0.18052053,-0.29030082,2,Curso de Formação de Servidores Municipais ou Distritais para a Fiscalização e a Cobrança do ITR 
-0.546387,0.12747276,0,Nova lei de licitações: Visão Geral 
0.08973526,0.117993064,4,Termo de Execução Descentralizada: Visão Geral e Atos Preparatórios 
-0.26911816,-0.18398166,3,"Transferegov.br: Cadastro de Entes, Instituições e Usuários "
